,group,batch_group_number,only_female_owns_enterprises,number_enterprises_hh_C,child_under_6,treatment,shock_any,miss_shock_any,Age_C,Married_C,Muslim_C,HH_Size_C,Years_Education_C,Financial_Control_C,homeowner_C,miss_Age_C,miss_Married_C,miss_Muslim_C,miss_HH_Size_C,miss_Years_Education_C,miss_Financial_Control_C,miss_homeowner_C,No_Drain_C,miss_No_Drain_C,all_hh_enterprise_profits,female_entreprise_profits,miss_number_enterprises_hh_C,sec_loanamount1,sec_loanamount2,sec_loanamount3,sec_loanamount4,sec_loanamount5,sec_loanamount6,miss_sec_loanamount1,miss_sec_loanamount2,miss_sec_loanamount3,miss_sec_loanamount4,miss_sec_loanamount5,miss_sec_loanamount6
330,21,8.0,1.0,2.0,0.0,1.0,1.0,0.0,36.0,1.0,0.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1844.0,1044.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
331,21,8.0,0.0,2.0,0.0,1.0,1.0,0.0,33.0,1.0,0.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,413.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
332,121,8.0,0.0,2.0,1.0,0.0,1.0,0.0,24.0,1.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,900.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
333,121,8.0,0.0,2.0,1.0,0.0,0.0,0.0,24.0,1.0,0.0,5.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,200.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
334,121,8.0,0.0,2.0,1.0,0.0,1.0,0.0,30.0,1.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,700.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
335,121,8.0,0.0,2.0,0.0,0.0,1.0,0.0,36.0,1.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,625.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
336,111,8.0,1.0,1.0,1.0,1.0,1.0,0.0,32.0,1.0,0.0,3.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,250.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
337,111,8.0,0.0,2.0,1.0,1.0,1.0,0.0,42.0,1.0,0.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,250.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
338,111,8.0,0.0,2.0,1.0,1.0,1.0,0.0,45.0,1.0,0.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,300.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
339,111,8.0,0.0,2.0,0.0,1.0,1.0,0.0,34.0,1.0,0.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
340,136,8.0,1.0,2.0,0.0,1.0,1.0,0.0,26.0,1.0,0.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.0,750.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
341,136,8.0,0.0,2.0,1.0,1.0,1.0,0.0,40.0,1.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9420.0,420.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
342,136,8.0,1.0,1.0,1.0,1.0,1.0,0.0,28.0,1.0,0.0,3.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
343,88/2,8.0,0.0,3.0,0.0,1.0,1.0,0.0,32.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25130.77,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
344,88/2,8.0,0.0,3.0,1.0,1.0,0.0,0.0,26.0,1.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,450.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
